"","date","t_end","t_start","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2020-03-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-03-07,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-03-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-03-09,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-03-10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-03-11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-03-12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-03-13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-03-14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-03-15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020-03-16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2020-03-17,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-03-18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020-03-19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020-03-20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2020-03-21,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-03-22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2020-03-23,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",2020-03-24,19,2,2.15872050733519,0.102690385625205,1.96336391409064,1.99275213052022,2.08867527218723,2.15667326396282,2.22726384783456,2.33077712305401,2.36557401741733
"20",2020-03-25,20,3,2.03948444883027,0.0939011117353894,1.86081630096125,1.88770037005771,1.97532906260965,2.03745732695361,2.10167337769991,2.19753529627164,2.22933832013129
"21",2020-03-26,21,4,1.98291938536182,0.0858776604903311,1.82078641132015,1.84460410611745,1.92435242873717,1.98116493758655,2.04011063109252,2.12779065909642,2.15781131844689
"22",2020-03-27,22,5,2.02514039872632,0.0804784327716238,1.87209480892273,1.89561314189418,1.96937309065147,2.02337600863528,2.07887475956219,2.159936999639,2.1888163535665
"23",2020-03-28,23,6,1.76148586801512,0.0691532832210537,1.63019037215649,1.64932449475597,1.71421468101099,1.76013207020141,1.80764044232554,1.87735882018674,1.90130880263563
"24",2020-03-29,24,7,1.56410094615443,0.058571027552059,1.45137194574305,1.46938382756987,1.52413571805749,1.5629549593643,1.60266999500164,1.66230465308267,1.68125576597105
"25",2020-03-30,25,8,1.52320878764355,0.0513506000134785,1.42547861920191,1.44062391296276,1.48855986467367,1.52216742125714,1.5572431446892,1.60987810919679,1.62746493678716
"26",2020-03-31,26,9,1.5150303736718,0.0467935507086992,1.42571648540854,1.44005521458574,1.48269733121934,1.51433058881222,1.54663856279157,1.59305758386733,1.6083970726235
"27",2020-04-01,27,10,1.47416524108039,0.0437085115216393,1.38909625777336,1.40291044870018,1.44448768944069,1.47378946988331,1.50308529076525,1.54740477439338,1.56087730542434
"28",2020-04-02,28,11,1.39922928660705,0.0406447228821279,1.32079848521089,1.33343232633111,1.37154316810065,1.39853304987982,1.42659214053808,1.46678891858498,1.47940700518537
"29",2020-04-03,29,12,1.34192771021909,0.0376211084281905,1.26950094685977,1.28034616253002,1.31622008355274,1.34146281342938,1.3674251891819,1.40423896758185,1.41619415808163
"30",2020-04-04,30,13,1.22461904936759,0.0335171419674036,1.1595292616969,1.17038424581987,1.20177980233629,1.22427032214377,1.2469776057258,1.28060560904081,1.29094614666684
